ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces
4/17/20,365515,Townhouse,60091,2277,7,2,2,No,3,0,1
11/18/19,168415.1875,Condo,60025,890,5,1,0,No,2,0,0
1/8/20,253175,Condo,60025,1100,5,2,0,No,2,0,1
4/23/19,293649.6875,SFH,60002,2825,10,2,1,No,4,0,2
1/22/19,320440.625,SFH,60076,1492,7,2,0,No,3,0,2
8/20/20,108650,Condo,60077,750,4,1,0,No,1,0,0
10/1/19,146036.875,Condo,60076,1068,5,1,0,No,2,0,0
10/15/20,353625,Condo,60202,1765,9,2,0,No,3,0,1
5/28/19,247422.1875,SFH,60053,1377,6,1,0,No,3,0,2.5
6/15/20,297250,SFH,60202,1244,7,1,1,No,3,0,2
9/25/18,750630.4568,SFH,60077,1800,6,2,1,No,3,0,2
3/6/20,225500,Condo,60076,1750,5,2,0,No,2,0,2
6/27/19,835246.875,SFH,60062,2700,7,2,1,No,3,0,2
12/28/20,1394000,SFH,60062,5872,11,5,1,No,5,0,4
11/30/20,568875,SFH,60091,2900,9,3,0,No,5,0,2
8/26/19,682906.25,SFH,60202,2099,7,1,0,No,3,0,0
9/9/19,575059.5938,SFH,60076,2100,10,2,1,No,4,1,2
12/11/20,1230000,SFH,60026,4700,16,3,1,No,5,0,3
11/30/20,497125,SFH,60025,1934,8,3,0,Yes,3,0,2
7/1/19,766956.25,SFH,60062,3429,9,3,1,Yes,4,1,2
5/9/17,391853.5762,SFH,60076,1833,8,2,0,Yes,3,0,2
4/24/19,1103156.25,SFH,60025,3971,9,5,1,Yes,4,1,2
8/13/20,170662.5,Condo,60025,1152,5,1,1,No,2,0,1
6/18/20,318262.5,SFH,60077,1274,7,1,1,No,3,0,2
5/22/17,309067.6094,Condo,60076,1600,7,2,2,Yes,3,0,1
1/5/21,580000,Townhouse,60025,2578,10,3,1,Yes,3,0,2
4/24/19,598856.25,Condo,60201,2260,6,3,0,No,3,0,1
11/14/19,553679.375,SFH,60062,2700,8,2,1,No,4,0,2
3/6/18,581520.9375,SFH,60062,2824,8,2,1,No,4,0,2.5
6/23/20,873812.5,SFH,60026,3013,14,3,1,Yes,5,1,2
10/2/19,851006.25,SFH,60062,3160,9,3,1,No,5,0,2
12/1/20,1414500,SFH,60025,4000,12,4,1,Yes,4,1,2
10/11/19,887778.125,SFH,60062,4054,12,4,1,Yes,3,2,3
7/15/20,120437.5,Condo,60025,900,5,1,0,No,2,0,0
12/12/19,258453.75,SFH,60002,2500,13,2,0,No,5,0,6
5/29/19,331104.4688,SFH,60076,1373,8,2,0,No,3,0,2
8/1/17,380815.4473,SFH,60076,1600,8,2,0,Yes,3,1,2.5
6/13/17,1324575.469,SFH,60062,4538,14,5,2,Yes,5,0,3
3/15/19,703918.75,SFH,60091,3696,10,2,2,Yes,4,0,2
1/24/20,305450,SFH,60002,2568,14,3,1,No,4,2,2
8/21/20,256250,SFH,60076,1200,7,1,1,Yes,3,0,2
9/25/20,408462.5,SFH,60076,1850,9,3,0,Yes,3,0,1.1
6/16/20,389500,SFH,60025,1523,7,1,1,No,3,0,1
7/30/20,205000,SFH,60002,884,5,1,0,No,2,0,2
3/30/20,459200,Condo,60201,1287,5,2,0,No,2,0,1
